Location,Species,Site,Net Photosynthesis,Respiration,Gross Photosynthesis,Pg:R ratio,Symbiodinaceae density,Chlorophyll concentration,Surface area
Ambitle,Heliopora coerulea,Reference,0.198444331,-0.199394409,0.39783874,1.995235182,1836962.866,16.28602861,1.843
Ambitle,Heliopora coerulea,Reference,0.242296659,-0.313733897,0.556030556,1.772299905,2815487.183,27.13132539,2.359
Ambitle,Heliopora coerulea,Reference,0.158368323,-0.337371447,0.49573977,1.469418276,2533270.283,22.33656788,2.901
Ambitle,Heliopora coerulea,Reference,0.142701012,-0.350483622,0.493184634,1.40715458,2770973.551,30.06566397,2.359
Ambitle,Heliopora coerulea,Reference,0.425252297,-0.375089778,0.800342075,2.1337347,2553782.422,23.95376516,3.824
Ambitle,Heliopora coerulea,Reference,0.580130469,-0.402749774,0.982880243,2.440424071,3193537.832,20.10414946,4.529
Ambitle,Dipsastraea pallida,Reference,0.401967595,-0.885614913,1.287582508,1.453885305,2564407.083,42.69999263,4.176
Ambitle,Dipsastraea pallida,Reference,0.393663651,-0.481942629,0.87560628,1.816826791,4722410.436,42.73169869,5.614
Ambitle,Dipsastraea pallida,Reference,0.45182133,-0.746846465,1.198667795,1.604972175,2492416.927,42.06755961,3.265
Ambitle,Dipsastraea pallida,Reference,0.534417999,-0.495145863,1.029563862,2.079314277,2903541.097,28.71215006,5.967
Ambitle,Dipsastraea pallida,Reference,0.3841555,-0.305178659,0.689334159,2.258788872,2115180.471,32.50272603,2.494
Ambitle,Dipsastraea pallida,Reference,0.510802975,-0.249364372,0.760167347,3.048420033,2105028.373,32.41811394,4.963
Ambitle,Dipsastraea pallida,Reference,0.417490749,-0.940264089,1.357754838,1.444014351,3015953.169,43.31713005,2.82
Ambitle,Dipsastraea pallida,Reference,0.383134886,-0.33170019,0.714835076,2.155063812,3095007.089,25.87652893,3.053
Ambitle,Dipsastraea pallida,Reference,0.30792774,-0.588030814,0.895958554,1.52365919,2421991.639,41.27895193,3.349
Ambitle,Dipsastraea pallida,Reference,0.541064817,-0.498034661,1.039099478,2.086399922,3033322.137,30.25984387,9.087
Ambitle,Pocillopora verrucosa,Vents,0.701680568,-0.502409284,1.204089852,2.396631373,1969629.665,25.75415257,15.353
Ambitle,Pocillopora verrucosa,Vents,0.670677163,-0.884057853,1.554735016,1.758634925,2867258.652,26.37332454,9.393
Ambitle,Pocillopora verrucosa,Vents,0.72456328,-0.837136317,1.561699597,1.865526038,2015740.06,19.59979274,10.47
Ambitle,Pocillopora verrucosa,Vents,0.798292846,-0.533892043,1.332184889,2.495232709,2967054.771,28.65649238,13.563
Ambitle,Pocillopora verrucosa,Vents,0.865640493,-0.727276575,1.592917068,2.190249381,4158369.841,39.26102121,10.378
Ambitle,Pocillopora verrucosa,Vents,0.689954137,-0.504485894,1.194440031,2.367638115,4144868.165,35.81288037,4.478
Ambitle,Pocillopora verrucosa,Vents,0.963227277,-0.523539135,1.486766412,2.839838157,2513380.91,24.98123699,5.045
Ambitle,Pocillopora verrucosa,Vents,0.8123458,-0.558684004,1.371029804,2.454034471,4862970.482,30.258468,6.607
Ambitle,Pocillopora verrucosa,Vents,0.75115083,-0.621882742,1.373033572,2.207865694,1654017.705,18.81840461,8.951
Ambitle,Pocillopora verrucosa,Vents,0.914588213,-0.622889688,1.537477901,2.468298851,1654017.705,35.456852,14.105
Ambitle,Porites cylindrica,Vents,1.021551296,-1.422158972,2.443710268,1.7183102,5701915.522,90.39225559,4.475
Ambitle,Porites cylindrica,Vents,1.336968353,-0.665572313,2.002540666,3.008749954,3978534.766,73.99825237,5.978
Ambitle,Porites cylindrica,Vents,1.001377714,-0.389465157,1.390842871,3.571161235,4060962.599,74.45113034,8.436
Ambitle,Porites cylindrica,Vents,1.381623348,-0.499258074,1.880881422,3.767353038,4683144.994,71.82784784,5.885
Ambitle,Porites cylindrica,Vents,1.135121405,-0.921946997,2.057068402,2.231221978,6326885.668,98.07995881,4.73
